('2020-10-31T22:00:00+00:00', 'Odd Down P+R', -41, -3, 'Static', '22:45', '2020-10-31T22:42:14+00:00', 'Newbridge P+R', 0, 0, 'Static', '22:45', '2020-10-31T22:40:00+00:00', 'SouthGate Rail CP', 11, 7, 'Static', '22:45', '2020-10-31T22:40:00+00:00', 'SouthGate General CP', 0, 0, 'Static', '22:45', '2020-10-31T22:43:06+00:00', 'Podium CP', 90, 17, 'Static', '22:45', '2020-10-31T22:45:00+00:00', 'Charlotte Street CP', 624, 59, 'Emptying', '22:45', '2020-10-31T22:44:28+00:00', 'Avon Street CP', 1, 0, 'Static', '22:45')
('Last update', 'Parking Name', 'Occupancy', 'Occupancy %', 'Status', 'Hour of sampling', 'Last update', 'Parking Name', 'Occupancy', 'Occupancy %', 'Status', 'Hour of sampling', 'Last update', 'Parking Name', 'Occupancy', 'Occupancy %', 'Status', 'Hour of sampling', 'Last update', 'Parking Name', 'Occupancy', 'Occupancy %', 'Status', 'Hour of sampling', 'Last update', 'Parking Name', 'Occupancy', 'Occupancy %', 'Status', 'Hour of sampling', 'Last update', 'Parking Name', 'Occupancy', 'Occupancy %', 'Status', 'Hour of sampling', 'Last update', 'Parking Name', 'Occupancy', 'Occupancy %', 'Status', 'Hour of sampling')
('2020-10-31T22:00:00+00:00', 'Odd Down P+R', -41, -3, 'Static', '22:55', '2020-10-31T22:42:14+00:00', 'Newbridge P+R', 0, 0, 'Static', '22:55', '2020-10-31T22:40:00+00:00', 'SouthGate Rail CP', 11, 7, 'Static', '22:55', '2020-10-31T22:40:00+00:00', 'SouthGate General CP', 0, 0, 'Static', '22:55', '2020-10-31T22:43:06+00:00', 'Podium CP', 90, 17, 'Static', '22:55', '2020-10-31T22:45:00+00:00', 'Charlotte Street CP', 624, 59, 'Emptying', '22:55', '2020-10-31T22:44:28+00:00', 'Avon Street CP', 1, 0, 'Static', '22:55')
('2020-10-31T22:50:00+00:00', 'Odd Down P+R', -40, -3, 'Filling', '23:05', '2020-10-31T22:59:59+00:00', 'Newbridge P+R', 0, 0, 'Static', '23:05', '2020-10-31T22:55:00+00:00', 'SouthGate Rail CP', 10, 7, 'Emptying', '23:05', '2020-10-31T22:55:00+00:00', 'SouthGate General CP', 0, 0, 'Static', '23:05', '2020-10-31T22:58:05+00:00', 'Podium CP', 90, 17, 'Static', '23:05', '2020-10-31T23:00:00+00:00', 'Charlotte Street CP', 625, 59, 'Static', '23:05', '2020-10-31T22:59:59+00:00', 'Avon Street CP', 0, 0, 'Static', '23:05')
('2020-10-31T22:50:00+00:00', 'Odd Down P+R', -40, -3, 'Filling', '23:15', '2020-10-31T23:12:33+00:00', 'Newbridge P+R', 0, 0, 'Static', '23:15', '2020-10-31T23:10:00+00:00', 'SouthGate Rail CP', 10, 7, 'Static', '23:15', '2020-10-31T23:10:00+00:00', 'SouthGate General CP', 0, 0, 'Static', '23:15', '2020-10-31T23:13:06+00:00', 'Podium CP', 90, 17, 'Static', '23:15', '2020-10-31T23:15:00+00:00', 'Charlotte Street CP', 624, 59, 'Emptying', '23:15', '2020-10-31T23:14:46+00:00', 'Avon Street CP', 0, 0, 'Static', '23:15')
('2020-10-31T22:50:00+00:00', 'Odd Down P+R', -40, -3, 'Filling', '23:25', '2020-10-31T23:12:33+00:00', 'Newbridge P+R', 0, 0, 'Static', '23:25', '2020-10-31T23:10:00+00:00', 'SouthGate Rail CP', 10, 7, 'Static', '23:25', '2020-10-31T23:10:00+00:00', 'SouthGate General CP', 0, 0, 'Static', '23:25', '2020-10-31T23:13:06+00:00', 'Podium CP', 90, 17, 'Static', '23:25', '2020-10-31T23:15:00+00:00', 'Charlotte Street CP', 624, 59, 'Emptying', '23:25', '2020-10-31T23:14:46+00:00', 'Avon Street CP', 0, 0, 'Static', '23:25')
('2020-10-31T22:50:00+00:00', 'Odd Down P+R', -40, -3, 'Filling', '23:35', '2020-10-31T23:29:32+00:00', 'Newbridge P+R', 0, 0, 'Static', '23:35', '2020-10-31T23:25:00+00:00', 'SouthGate Rail CP', 10, 7, 'Static', '23:35', '2020-10-31T23:25:00+00:00', 'SouthGate General CP', 0, 0, 'Static', '23:35', '2020-10-31T23:28:12+00:00', 'Podium CP', 90, 17, 'Static', '23:35', '2020-10-31T23:30:00+00:00', 'Charlotte Street CP', 621, 58, 'Emptying', '23:35', '2020-10-31T23:29:32+00:00', 'Avon Street CP', 0, 0, 'Static', '23:35')
('2020-10-31T23:40:00+00:00', 'Odd Down P+R', -41, -3, 'Emptying', '23:45', '2020-10-31T23:42:06+00:00', 'Newbridge P+R', 0, 0, 'Static', '23:45', '2020-10-31T23:40:00+00:00', 'SouthGate Rail CP', 10, 7, 'Static', '23:45', '2020-10-31T23:40:00+00:00', 'SouthGate General CP', 0, 0, 'Static', '23:45', '2020-10-31T23:43:04+00:00', 'Podium CP', 90, 17, 'Static', '23:45', '2020-10-31T23:45:00+00:00', 'Charlotte Street CP', 619, 58, 'Static', '23:45', '2020-10-31T23:44:20+00:00', 'Avon Street CP', 0, 0, 'Static', '23:45')
('2020-10-31T23:40:00+00:00', 'Odd Down P+R', -41, -3, 'Emptying', '23:55', '2020-10-31T23:42:06+00:00', 'Newbridge P+R', 0, 0, 'Static', '23:55', '2020-10-31T23:40:00+00:00', 'SouthGate Rail CP', 10, 7, 'Static', '23:55', '2020-10-31T23:40:00+00:00', 'SouthGate General CP', 0, 0, 'Static', '23:55', '2020-10-31T23:43:04+00:00', 'Podium CP', 90, 17, 'Static', '23:55', '2020-10-31T23:45:00+00:00', 'Charlotte Street CP', 619, 58, 'Static', '23:55', '2020-10-31T23:44:20+00:00', 'Avon Street CP', 0, 0, 'Static', '23:55')
('2020-10-31T23:40:00+00:00', 'Odd Down P+R', -41, -3, 'Emptying', '0:05', '2020-10-31T23:59:50+00:00', 'Newbridge P+R', 0, 0, 'Static', '0:05', '2020-10-31T23:55:00+00:00', 'SouthGate Rail CP', 10, 7, 'Static', '0:05', '2020-10-31T23:55:00+00:00', 'SouthGate General CP', 0, 0, 'Static', '0:05', '2020-10-31T23:58:03+00:00', 'Podium CP', 90, 17, 'Static', '0:05', '2020-10-31T23:45:00+00:00', 'Charlotte Street CP', 619, 58, 'Static', '0:05', '2020-10-31T23:59:50+00:00', 'Avon Street CP', 0, 0, 'Static', '0:05')
('2020-10-31T23:40:00+00:00', 'Odd Down P+R', -41, -3, 'Emptying', '0:15', '2020-11-01T00:12:23+00:00', 'Newbridge P+R', 0, 0, 'Static', '0:15', '2020-11-01T00:10:00+00:00', 'SouthGate Rail CP', 10, 7, 'Static', '0:15', '2020-11-01T00:10:00+00:00', 'SouthGate General CP', 0, 0, 'Static', '0:15', '2020-11-01T00:12:11+00:00', 'Podium CP', 90, 17, 'Static', '0:15', '2020-11-01T00:15:00+00:00', 'Charlotte Street CP', 618, 58, 'Emptying', '0:15', '2020-11-01T00:14:37+00:00', 'Avon Street CP', 0, 0, 'Static', '0:15')
('2020-10-31T23:40:00+00:00', 'Odd Down P+R', -41, -3, 'Emptying', '0:25', '2020-11-01T00:12:23+00:00', 'Newbridge P+R', 0, 0, 'Static', '0:25', '2020-11-01T00:10:00+00:00', 'SouthGate Rail CP', 10, 7, 'Static', '0:25', '2020-11-01T00:10:00+00:00', 'SouthGate General CP', 0, 0, 'Static', '0:25', '2020-11-01T00:12:11+00:00', 'Podium CP', 90, 17, 'Static', '0:25', '2020-11-01T00:15:00+00:00', 'Charlotte Street CP', 618, 58, 'Emptying', '0:25', '2020-11-01T00:14:37+00:00', 'Avon Street CP', 0, 0, 'Static', '0:25')
('2020-10-31T23:40:00+00:00', 'Odd Down P+R', -41, -3, 'Emptying', '0:35', '2020-11-01T00:29:23+00:00', 'Newbridge P+R', 0, 0, 'Static', '0:35', '2020-11-01T00:25:00+00:00', 'SouthGate Rail CP', 10, 7, 'Static', '0:35', '2020-11-01T00:25:00+00:00', 'SouthGate General CP', 0, 0, 'Static', '0:35', '2020-11-01T00:28:03+00:00', 'Podium CP', 90, 17, 'Static', '0:35', '2020-11-01T00:30:00+00:00', 'Charlotte Street CP', 617, 58, 'Emptying', '0:35', '2020-11-01T00:29:23+00:00', 'Avon Street CP', 0, 0, 'Static', '0:35')
('2020-10-31T23:40:00+00:00', 'Odd Down P+R', -41, -3, 'Emptying', '0:45', '2020-11-01T00:44:54+00:00', 'Newbridge P+R', 0, 0, 'Static', '0:45', '2020-11-01T00:40:00+00:00', 'SouthGate Rail CP', 10, 7, 'Static', '0:45', '2020-11-01T00:40:00+00:00', 'SouthGate General CP', 0, 0, 'Static', '0:45', '2020-11-01T00:42:11+00:00', 'Podium CP', 90, 17, 'Static', '0:45', '2020-11-01T00:30:00+00:00', 'Charlotte Street CP', 617, 58, 'Emptying', '0:45', '2020-11-01T00:44:54+00:00', 'Avon Street CP', 1, 0, 'Filling', '0:45')
('2020-10-31T23:40:00+00:00', 'Odd Down P+R', -41, -3, 'Emptying', '0:55', '2020-11-01T00:44:54+00:00', 'Newbridge P+R', 0, 0, 'Static', '0:55', '2020-11-01T00:40:00+00:00', 'SouthGate Rail CP', 10, 7, 'Static', '0:55', '2020-11-01T00:40:00+00:00', 'SouthGate General CP', 0, 0, 'Static', '0:55', '2020-11-01T00:42:11+00:00', 'Podium CP', 90, 17, 'Static', '0:55', '2020-11-01T00:30:00+00:00', 'Charlotte Street CP', 617, 58, 'Emptying', '0:55', '2020-11-01T00:44:54+00:00', 'Avon Street CP', 1, 0, 'Filling', '0:55')
('2020-10-31T23:40:00+00:00', 'Odd Down P+R', -41, -3, 'Emptying', '1:05', '2020-11-01T00:59:40+00:00', 'Newbridge P+R', 0, 0, 'Static', '1:05', '2020-11-01T00:55:00+00:00', 'SouthGate Rail CP', 10, 7, 'Static', '1:05', '2020-11-01T00:55:00+00:00', 'SouthGate General CP', 0, 0, 'Static', '1:05', '2020-11-01T00:58:07+00:00', 'Podium CP', 90, 17, 'Static', '1:05', '2020-11-01T00:30:00+00:00', 'Charlotte Street CP', 617, 58, 'Emptying', '1:05', '2020-11-01T00:59:40+00:00', 'Avon Street CP', 0, 0, 'Emptying', '1:05')
('2020-10-31T23:40:00+00:00', 'Odd Down P+R', -41, -3, 'Emptying', '1:15', '2020-11-01T01:12:19+00:00', 'Newbridge P+R', 0, 0, 'Static', '1:15', '2020-11-01T01:10:00+00:00', 'SouthGate Rail CP', 10, 7, 'Static', '1:15', '2020-11-01T01:10:00+00:00', 'SouthGate General CP', 0, 0, 'Static', '1:15', '2020-11-01T01:13:07+00:00', 'Podium CP', 90, 17, 'Static', '1:15', '2020-11-01T00:30:00+00:00', 'Charlotte Street CP', 617, 58, 'Emptying', '1:15', '2020-11-01T01:14:33+00:00', 'Avon Street CP', 1, 0, 'Filling', '1:15')
('2020-10-31T23:40:00+00:00', 'Odd Down P+R', -41, -3, 'Emptying', '1:25', '2020-11-01T01:12:19+00:00', 'Newbridge P+R', 0, 0, 'Static', '1:25', '2020-11-01T01:10:00+00:00', 'SouthGate Rail CP', 10, 7, 'Static', '1:25', '2020-11-01T01:10:00+00:00', 'SouthGate General CP', 0, 0, 'Static', '1:25', '2020-11-01T01:13:07+00:00', 'Podium CP', 90, 17, 'Static', '1:25', '2020-11-01T00:30:00+00:00', 'Charlotte Street CP', 617, 58, 'Emptying', '1:25', '2020-11-01T01:14:33+00:00', 'Avon Street CP', 1, 0, 'Filling', '1:25')
('2020-11-01T01:30:00+00:00', 'Odd Down P+R', -41, -3, 'Emptying', '1:35', '2020-11-01T01:29:25+00:00', 'Newbridge P+R', 0, 0, 'Static', '1:35', '2020-11-01T01:25:00+00:00', 'SouthGate Rail CP', 7, 5, 'Emptying', '1:35', '2020-11-01T01:25:00+00:00', 'SouthGate General CP', 131, 18, 'Filling', '1:35', '2020-11-01T01:28:07+00:00', 'Podium CP', 90, 17, 'Static', '1:35', '2020-11-01T00:30:00+00:00', 'Charlotte Street CP', 617, 58, 'Emptying', '1:35', '2020-11-01T01:29:25+00:00', 'Avon Street CP', 2, 0, 'Filling', '1:35')
('2020-11-01T01:30:00+00:00', 'Odd Down P+R', -41, -3, 'Emptying', '1:45', '2020-11-01T01:44:56+00:00', 'Newbridge P+R', 0, 0, 'Static', '1:45', '2020-11-01T01:40:00+00:00', 'SouthGate Rail CP', 7, 5, 'Static', '1:45', '2020-11-01T01:40:00+00:00', 'SouthGate General CP', 131, 18, 'Static', '1:45', '2020-11-01T01:43:07+00:00', 'Podium CP', 90, 17, 'Static', '1:45', '2020-11-01T01:35:00+00:00', 'Charlotte Street CP', 616, 58, 'Emptying', '1:45', '2020-11-01T01:44:56+00:00', 'Avon Street CP', 1, 0, 'Emptying', '1:45')
('2020-11-01T01:30:00+00:00', 'Odd Down P+R', -41, -3, 'Emptying', '1:55', '2020-11-01T01:44:56+00:00', 'Newbridge P+R', 0, 0, 'Static', '1:55', '2020-11-01T01:40:00+00:00', 'SouthGate Rail CP', 7, 5, 'Static', '1:55', '2020-11-01T01:40:00+00:00', 'SouthGate General CP', 131, 18, 'Static', '1:55', '2020-11-01T01:43:07+00:00', 'Podium CP', 90, 17, 'Static', '1:55', '2020-11-01T01:35:00+00:00', 'Charlotte Street CP', 616, 58, 'Emptying', '1:55', '2020-11-01T01:44:56+00:00', 'Avon Street CP', 1, 0, 'Emptying', '1:55')
('2020-11-01T01:59:59+00:00', 'Odd Down P+R', -41, -3, 'Static', '2:05', '2020-11-01T01:59:42+00:00', 'Newbridge P+R', 0, 0, 'Static', '2:05', '2020-11-01T01:55:00+00:00', 'SouthGate Rail CP', 7, 5, 'Static', '2:05', '2020-11-01T01:55:00+00:00', 'SouthGate General CP', 131, 18, 'Static', '2:05', '2020-11-01T01:58:05+00:00', 'Podium CP', 90, 17, 'Static', '2:05', '2020-11-01T01:35:00+00:00', 'Charlotte Street CP', 616, 58, 'Emptying', '2:05', '2020-11-01T01:59:42+00:00', 'Avon Street CP', 0, 0, 'Emptying', '2:05')
('2020-11-01T02:10:00+00:00', 'Odd Down P+R', -42, -3, 'Emptying', '2:15', '2020-11-01T02:12:16+00:00', 'Newbridge P+R', 0, 0, 'Static', '2:15', '2020-11-01T02:10:00+00:00', 'SouthGate Rail CP', 7, 5, 'Static', '2:15', '2020-11-01T02:10:00+00:00', 'SouthGate General CP', 131, 18, 'Static', '2:15', '2020-11-01T02:13:04+00:00', 'Podium CP', 90, 17, 'Static', '2:15', '2020-11-01T01:35:00+00:00', 'Charlotte Street CP', 616, 58, 'Emptying', '2:15', '2020-11-01T02:14:29+00:00', 'Avon Street CP', 0, 0, 'Static', '2:15')
('2020-11-01T02:10:00+00:00', 'Odd Down P+R', -42, -3, 'Emptying', '2:25', '2020-11-01T02:12:16+00:00', 'Newbridge P+R', 0, 0, 'Static', '2:25', '2020-11-01T02:10:00+00:00', 'SouthGate Rail CP', 7, 5, 'Static', '2:25', '2020-11-01T02:10:00+00:00', 'SouthGate General CP', 131, 18, 'Static', '2:25', '2020-11-01T02:13:04+00:00', 'Podium CP', 90, 17, 'Static', '2:25', '2020-11-01T01:35:00+00:00', 'Charlotte Street CP', 616, 58, 'Emptying', '2:25', '2020-11-01T02:14:29+00:00', 'Avon Street CP', 0, 0, 'Static', '2:25')
('2020-11-01T02:10:00+00:00', 'Odd Down P+R', -42, -3, 'Emptying', '2:35', '2020-11-01T02:30:00+00:00', 'Newbridge P+R', 0, 0, 'Static', '2:35', '2020-11-01T02:25:00+00:00', 'SouthGate Rail CP', 7, 5, 'Static', '2:35', '2020-11-01T02:25:00+00:00', 'SouthGate General CP', 131, 18, 'Static', '2:35', '2020-11-01T02:28:03+00:00', 'Podium CP', 90, 17, 'Static', '2:35', '2020-11-01T01:35:00+00:00', 'Charlotte Street CP', 616, 58, 'Emptying', '2:35', '2020-11-01T02:29:15+00:00', 'Avon Street CP', 0, 0, 'Static', '2:35')
