('2020-10-31T18:00:00+00:00', 'Charlotte Street CP', 676, 64, 'Emptying')
('2020-10-31T18:00:00+00:00', 'Charlotte Street CP', 676, 64, 'Emptying')
('2020-10-31T18:00:00+00:00', 'Charlotte Street CP', 676, 64, 'Emptying')
('2020-10-31T18:00:00+00:00', 'Charlotte Street CP', 676, 64, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:15:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T18:30:00+00:00', 'Charlotte Street CP', 659, 62, 'Emptying')
('2020-10-31T18:30:00+00:00', 'Charlotte Street CP', 659, 62, 'Emptying')
('2020-10-31T18:30:00+00:00', 'Charlotte Street CP', 659, 62, 'Emptying')
('2020-10-31T18:30:00+00:00', 'Charlotte Street CP', 659, 62, 'Emptying')
('2020-10-31T18:30:00+00:00', 'Charlotte Street CP', 659, 62, 'Emptying')
('2020-10-31T18:30:00+00:00', 'Charlotte Street CP', 659, 62, 'Emptying')
('2020-10-31T18:45:00+00:00', 'Charlotte Street CP', 654, 61, 'Emptying')
('2020-10-31T19:00:00+00:00', 'Charlotte Street CP', 660, 62, 'Filling')
('2020-10-31T19:15:00+00:00', 'Charlotte Street CP', 663, 62, 'Static')
('2020-10-31T19:30:00+00:00', 'Charlotte Street CP', 662, 62, 'Emptying')
('2020-10-31T19:45:00+00:00', 'Charlotte Street CP', 659, 62, 'Emptying')
('2020-10-31T19:59:59+00:00', 'Charlotte Street CP', 660, 62, 'Emptying')
('2020-10-31T20:15:00+00:00', 'Charlotte Street CP', 660, 62, 'Static')
('2020-10-31T20:30:00+00:00', 'Charlotte Street CP', 660, 62, 'Emptying')
('2020-10-31T20:40:00+00:00', 'Charlotte Street CP', 658, 62, 'Emptying')
('2020-10-31T21:00:00+00:00', 'Charlotte Street CP', 644, 60, 'Emptying')
('2020-10-31T21:15:00+00:00', 'Charlotte Street CP', 638, 60, 'Emptying')
('2020-10-31T21:25:00+00:00', 'Charlotte Street CP', 635, 60, 'Emptying')
('2020-10-31T21:40:00+00:00', 'Charlotte Street CP', 634, 60, 'Emptying')
('2020-10-31T22:00:00+00:00', 'Odd Down P+R', -41, -3, 'Static', '22:19', '2020-10-31T22:14:54+00:00', 'Newbridge P+R', 0, 0, 'Static', '22:19', '2020-10-31T22:10:00+00:00', 'SouthGate Rail CP', 11, 7, 'Static', '22:19', '2020-10-31T22:10:00+00:00', 'SouthGate General CP', 0, 0, 'Emptying', '22:19', '2020-10-31T22:13:09+00:00', 'Podium CP', 92, 17, 'Static', '22:19', '2020-10-31T22:15:00+00:00', 'Charlotte Street CP', 624, 59, 'Filling', '22:19', '2020-10-31T22:14:54+00:00', 'Avon Street CP', 0, 0, 'Emptying', '22:19')
('2020-10-31T22:00:00+00:00', 'Odd Down P+R', -41, -3, 'Static', '22:19', '2020-10-31T22:14:54+00:00', 'Newbridge P+R', 0, 0, 'Static', '22:19', '2020-10-31T22:10:00+00:00', 'SouthGate Rail CP', 11, 7, 'Static', '22:19', '2020-10-31T22:10:00+00:00', 'SouthGate General CP', 0, 0, 'Emptying', '22:19', '2020-10-31T22:13:09+00:00', 'Podium CP', 92, 17, 'Static', '22:19', '2020-10-31T22:15:00+00:00', 'Charlotte Street CP', 624, 59, 'Filling', '22:19', '2020-10-31T22:14:54+00:00', 'Avon Street CP', 0, 0, 'Emptying', '22:19')
('2020-10-31T22:00:00+00:00', 'Odd Down P+R', -41, -3, 'Static', '22:26', '2020-10-31T22:14:54+00:00', 'Newbridge P+R', 0, 0, 'Static', '22:26', '2020-10-31T22:10:00+00:00', 'SouthGate Rail CP', 11, 7, 'Static', '22:26', '2020-10-31T22:10:00+00:00', 'SouthGate General CP', 0, 0, 'Emptying', '22:26', '2020-10-31T22:13:09+00:00', 'Podium CP', 92, 17, 'Static', '22:26', '2020-10-31T22:15:00+00:00', 'Charlotte Street CP', 624, 59, 'Filling', '22:26', '2020-10-31T22:14:54+00:00', 'Avon Street CP', 0, 0, 'Emptying', '22:26')
('Last update', 'Parking Name', 'Occupancy', 'Occupancy %', 'Status', 'Hour of sampling', 'Last update', 'Parking Name', 'Occupancy', 'Occupancy %', 'Status', 'Hour of sampling', 'Last update', 'Parking Name', 'Occupancy', 'Occupancy %', 'Status', 'Hour of sampling', 'Last update', 'Parking Name', 'Occupancy', 'Occupancy %', 'Status', 'Hour of sampling', 'Last update', 'Parking Name', 'Occupancy', 'Occupancy %', 'Status', 'Hour of sampling', 'Last update', 'Parking Name', 'Occupancy', 'Occupancy %', 'Status', 'Hour of sampling', 'Last update', 'Parking Name', 'Occupancy', 'Occupancy %', 'Status', 'Hour of sampling')
('2020-10-31T22:00:00+00:00', 'Odd Down P+R', -41, -3, 'Static', '22:26', '2020-10-31T22:14:54+00:00', 'Newbridge P+R', 0, 0, 'Static', '22:26', '2020-10-31T22:10:00+00:00', 'SouthGate Rail CP', 11, 7, 'Static', '22:26', '2020-10-31T22:10:00+00:00', 'SouthGate General CP', 0, 0, 'Emptying', '22:26', '2020-10-31T22:13:09+00:00', 'Podium CP', 92, 17, 'Static', '22:26', '2020-10-31T22:15:00+00:00', 'Charlotte Street CP', 624, 59, 'Filling', '22:26', '2020-10-31T22:14:54+00:00', 'Avon Street CP', 0, 0, 'Emptying', '22:26')
('2020-10-31T22:00:00+00:00', 'Odd Down P+R', -41, -3, 'Static', '22:26', '2020-10-31T22:14:54+00:00', 'Newbridge P+R', 0, 0, 'Static', '22:26', '2020-10-31T22:10:00+00:00', 'SouthGate Rail CP', 11, 7, 'Static', '22:26', '2020-10-31T22:10:00+00:00', 'SouthGate General CP', 0, 0, 'Emptying', '22:26', '2020-10-31T22:13:09+00:00', 'Podium CP', 92, 17, 'Static', '22:26', '2020-10-31T22:15:00+00:00', 'Charlotte Street CP', 624, 59, 'Filling', '22:26', '2020-10-31T22:14:54+00:00', 'Avon Street CP', 0, 0, 'Emptying', '22:26')
('Last update', 'Parking Name', 'Occupancy', 'Occupancy %', 'Status', 'Hour of sampling', 'Last update', 'Parking Name', 'Occupancy', 'Occupancy %', 'Status', 'Hour of sampling', 'Last update', 'Parking Name', 'Occupancy', 'Occupancy %', 'Status', 'Hour of sampling', 'Last update', 'Parking Name', 'Occupancy', 'Occupancy %', 'Status', 'Hour of sampling', 'Last update', 'Parking Name', 'Occupancy', 'Occupancy %', 'Status', 'Hour of sampling', 'Last update', 'Parking Name', 'Occupancy', 'Occupancy %', 'Status', 'Hour of sampling', 'Last update', 'Parking Name', 'Occupancy', 'Occupancy %', 'Status', 'Hour of sampling')
('2020-10-31T22:00:00+00:00', 'Odd Down P+R', -41, -3, 'Static', '22:27', '2020-10-31T22:14:54+00:00', 'Newbridge P+R', 0, 0, 'Static', '22:27', '2020-10-31T22:10:00+00:00', 'SouthGate Rail CP', 11, 7, 'Static', '22:27', '2020-10-31T22:10:00+00:00', 'SouthGate General CP', 0, 0, 'Emptying', '22:27', '2020-10-31T22:13:09+00:00', 'Podium CP', 92, 17, 'Static', '22:27', '2020-10-31T22:15:00+00:00', 'Charlotte Street CP', 624, 59, 'Filling', '22:27', '2020-10-31T22:14:54+00:00', 'Avon Street CP', 0, 0, 'Emptying', '22:27')
('2020-10-31T22:00:00+00:00', 'Odd Down P+R', -41, -3, 'Static', '22:27', '2020-10-31T22:14:54+00:00', 'Newbridge P+R', 0, 0, 'Static', '22:27', '2020-10-31T22:10:00+00:00', 'SouthGate Rail CP', 11, 7, 'Static', '22:27', '2020-10-31T22:10:00+00:00', 'SouthGate General CP', 0, 0, 'Emptying', '22:27', '2020-10-31T22:13:09+00:00', 'Podium CP', 92, 17, 'Static', '22:27', '2020-10-31T22:15:00+00:00', 'Charlotte Street CP', 624, 59, 'Filling', '22:27', '2020-10-31T22:14:54+00:00', 'Avon Street CP', 0, 0, 'Emptying', '22:27')
('2020-10-31T22:00:00+00:00', 'Odd Down P+R', -41, -3, 'Static', '22:27', '2020-10-31T22:14:54+00:00', 'Newbridge P+R', 0, 0, 'Static', '22:27', '2020-10-31T22:10:00+00:00', 'SouthGate Rail CP', 11, 7, 'Static', '22:27', '2020-10-31T22:10:00+00:00', 'SouthGate General CP', 0, 0, 'Emptying', '22:27', '2020-10-31T22:13:09+00:00', 'Podium CP', 92, 17, 'Static', '22:27', '2020-10-31T22:15:00+00:00', 'Charlotte Street CP', 624, 59, 'Filling', '22:27', '2020-10-31T22:14:54+00:00', 'Avon Street CP', 0, 0, 'Emptying', '22:27')
('2020-10-31T22:00:00+00:00', 'Odd Down P+R', -41, -3, 'Static', '22:27', '2020-10-31T22:14:54+00:00', 'Newbridge P+R', 0, 0, 'Static', '22:27', '2020-10-31T22:10:00+00:00', 'SouthGate Rail CP', 11, 7, 'Static', '22:27', '2020-10-31T22:10:00+00:00', 'SouthGate General CP', 0, 0, 'Emptying', '22:27', '2020-10-31T22:13:09+00:00', 'Podium CP', 92, 17, 'Static', '22:27', '2020-10-31T22:15:00+00:00', 'Charlotte Street CP', 624, 59, 'Filling', '22:27', '2020-10-31T22:14:54+00:00', 'Avon Street CP', 0, 0, 'Emptying', '22:27')
('2020-10-31T22:00:00+00:00', 'Odd Down P+R', -41, -3, 'Static', '22:27', '2020-10-31T22:14:54+00:00', 'Newbridge P+R', 0, 0, 'Static', '22:27', '2020-10-31T22:10:00+00:00', 'SouthGate Rail CP', 11, 7, 'Static', '22:27', '2020-10-31T22:10:00+00:00', 'SouthGate General CP', 0, 0, 'Emptying', '22:27', '2020-10-31T22:13:09+00:00', 'Podium CP', 92, 17, 'Static', '22:27', '2020-10-31T22:15:00+00:00', 'Charlotte Street CP', 624, 59, 'Filling', '22:27', '2020-10-31T22:14:54+00:00', 'Avon Street CP', 0, 0, 'Emptying', '22:27')
('2020-10-31T22:00:00+00:00', 'Odd Down P+R', -41, -3, 'Static', '22:27', '2020-10-31T22:14:54+00:00', 'Newbridge P+R', 0, 0, 'Static', '22:27', '2020-10-31T22:10:00+00:00', 'SouthGate Rail CP', 11, 7, 'Static', '22:27', '2020-10-31T22:10:00+00:00', 'SouthGate General CP', 0, 0, 'Emptying', '22:27', '2020-10-31T22:13:09+00:00', 'Podium CP', 92, 17, 'Static', '22:27', '2020-10-31T22:15:00+00:00', 'Charlotte Street CP', 624, 59, 'Filling', '22:27', '2020-10-31T22:14:54+00:00', 'Avon Street CP', 0, 0, 'Emptying', '22:27')
('2020-10-31T22:00:00+00:00', 'Odd Down P+R', -41, -3, 'Static', '22:27', '2020-10-31T22:14:54+00:00', 'Newbridge P+R', 0, 0, 'Static', '22:27', '2020-10-31T22:10:00+00:00', 'SouthGate Rail CP', 11, 7, 'Static', '22:27', '2020-10-31T22:10:00+00:00', 'SouthGate General CP', 0, 0, 'Emptying', '22:27', '2020-10-31T22:13:09+00:00', 'Podium CP', 92, 17, 'Static', '22:27', '2020-10-31T22:15:00+00:00', 'Charlotte Street CP', 624, 59, 'Filling', '22:27', '2020-10-31T22:14:54+00:00', 'Avon Street CP', 0, 0, 'Emptying', '22:27')
('2020-10-31T22:00:00+00:00', 'Odd Down P+R', -41, -3, 'Static', '22:29', '2020-10-31T22:14:54+00:00', 'Newbridge P+R', 0, 0, 'Static', '22:29', '2020-10-31T22:10:00+00:00', 'SouthGate Rail CP', 11, 7, 'Static', '22:29', '2020-10-31T22:10:00+00:00', 'SouthGate General CP', 0, 0, 'Emptying', '22:29', '2020-10-31T22:13:09+00:00', 'Podium CP', 92, 17, 'Static', '22:29', '2020-10-31T22:15:00+00:00', 'Charlotte Street CP', 624, 59, 'Filling', '22:29', '2020-10-31T22:14:54+00:00', 'Avon Street CP', 0, 0, 'Emptying', '22:29')
